stress_level,controller_label,seed,valid,invalid_reason,n_faults,saifi,saidi,maifi,asai,ens,restoration_time_seconds,critical_load_total_mw,critical_load_restored_mw,critical_load_restored_pct,total_load_mw,successful_restoration_count,n_faults,number_of_islands,isolated_nodes,switching_operations,actions_taken,illegal_actions_attempted,load_shedding_events,battery_dispatch_events,minimum_voltage_pu,maximum_voltage_pu,average_voltage_pu,voltage_violation_count,frequency_deviation_count,line_overload_count,generation_mw,operating_cost_usd,outage_cost_usd,carbon_kg,runtime_s,controller_runtime_s,power_flow_runtime_s,stress_cumulative_unserved_energy,stress_max_unserved_load_mw,stress_cum_unserved_restoration_mw,stress_cum_feasible_restoration_mw,resilience_loss_area,resilience_time_to_50pct_restoration,resilience_time_to_90pct_restoration,stress_critical_load_total_mw,stress_critical_load_interrupted_mw,stress_critical_load_restored_mw,stress_critical_load_restored_pct,stress_restoration_rate,stress_n_faults,stress_n_restored
moderate,persistence,0,True,,5,0.10204081632653061,0.0,104.0,-4.0,50.0,0.0,1.109,1.109,100.0,24.0674,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,5096,0,40.934,0.0,0.0,0.0,0.9172,0.0,0.3758,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,1,True,,5,0.10204081632653061,0.0,113.0,-4.0,50.0,0.0,1.639,1.639,99.99999999999999,25.0337,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,5537,0,40.4768,0.0,0.0,0.0,0.854,0.001,0.3395,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,2,True,,5,0.10204081632653061,0.0,83.0,-4.0,50.0,0.0,1.5081,1.5081,99.99999999999999,25.7447,0,5,1,1,0,0,0,0,0,0.0,1.0,0.9420408163265311,176,4067,0,38.9948,0.0,0.0,0.0,0.8453,0.0,0.3569,17.205429674585304,0.09945695281777978,0.0,0.0,172.49373434563418,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,3,True,,5,0.10204081632653061,0.0,106.0,-4.0,50.0,0.0,1.4349,1.4349,100.0,24.9846,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,5194,0,41.0205,0.0,0.0,0.0,0.8629,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,4,True,,5,0.10204081632653061,0.0,139.0,-4.0,50.0,0.0,1.1827,1.1827,100.0,24.1119,0,5,1,1,0,0,0,0,0,0.0,1.0,0.9420408163265311,151,6811,0,44.5118,0.0,0.0,0.0,0.9705,0.0,0.4078,24.447677656773706,0.18530153381309072,0.0,0.0,131.50904150197607,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,5,True,,5,0.10204081632653061,0.0,86.0,-4.0,50.0,0.0,0.9981,0.9981,100.0,26.0549,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,4214,0,39.781,0.0,0.0,0.0,0.847,0.001,0.346,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,6,True,,5,0.10204081632653061,0.0,128.0,-4.0,50.0,0.0,1.4768,1.4768,100.00000000000001,24.3996,0,5,1,1,0,0,0,0,0,0.0,1.0,0.9420408163265311,44,6272,0,42.0733,0.0,0.0,0.0,0.8548,0.0,0.3659,18.1210486477616,0.4826385419847383,0.0,0.0,37.40436368857961,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,7,True,,5,0.10204081632653061,0.0,118.0,-4.0,50.0,0.0,1.4913,1.4913,100.0,25.6825,0,5,1,1,0,0,0,0,0,0.0,1.0,0.9420408163265311,53,5782,0,40.3264,0.0,0.0,0.0,0.8448,0.0,0.3394,12.520335095916732,0.2585873807482452,0.0,0.0,47.918198365628015,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,8,True,,5,0.10204081632653061,0.0,101.0,-4.0,50.0,0.0,1.6147,1.6147,100.00000000000001,25.029,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,4949,0,40.3352,0.0,0.0,0.0,0.9124,0.0,0.3757,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
moderate,persistence,9,True,,5,0.10204081632653061,0.0,157.0,-4.0,50.0,0.0,0.9262,0.9262,100.0,24.4405,0,5,1,0,0,0,0,0,0,0.95,1.0,0.961428571428572,0,7693,3,43.5877,0.0,0.0,0.0,0.9497,0.0,0.3972,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,100.0,0.0,5,0
