stress_level,controller,n_runs,controller_runtime_mean_s,controller_runtime_std_s,power_flow_runtime_mean_s,wallclock_runtime_mean_s
moderate,dqn_core_only,30,0.0,0.0,0.0,0.0
moderate,full_stack,30,0.0,0.0,0.0,0.0
moderate,no_lstm,30,0.0,0.0,0.0,0.0
moderate,no_predictive,30,0.0,0.0,0.0,0.0
moderate,no_reward,30,0.0,0.0,0.0,0.0
moderate,no_twin,30,0.0,0.0,0.0,0.0
moderate,persistence,30,0.0,0.0,0.0,0.0
moderate,random,30,0.0,0.0,0.0,0.0
moderate,rule_based,30,0.0,0.0,0.0,0.0
severe,dqn_core_only,30,0.0,0.0,0.0,0.0
severe,full_stack,30,0.0,0.0,0.0,0.0
severe,no_lstm,30,0.0,0.0,0.0,0.0
severe,no_predictive,30,0.0,0.0,0.0,0.0
severe,no_reward,30,0.0,0.0,0.0,0.0
severe,no_twin,30,0.0,0.0,0.0,0.0
severe,persistence,30,0.0,0.0,0.0,0.0
severe,random,30,0.0,0.0,0.0,0.0
severe,rule_based,30,0.0,0.0,0.0,0.0
