# per_policy_summary
controller_label,n_valid_runs,active_modules,disabled_modules,metric,n,mean,std,median,min,max,ci95_low,ci95_high
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,saifi,100,0.061224,0.000000,0.061224,0.061224,0.061224,0.061224,0.061224
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,saidi,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,maifi,100,197.300000,4.480034,200.000000,183.000000,200.000000,196.421913,198.178087
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,asai,100,-2.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,ens,100,30.000000,0.000000,30.000000,30.000000,30.000000,30.000000,30.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,restoration_time_steps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,critical_load_restored_pct,100,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,successful_restoration_count,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,number_of_islands,100,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,isolated_nodes,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,actions_taken,100,200.000000,0.000000,200.000000,200.000000,200.000000,200.000000,200.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,switching_operations,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,illegal_actions_attempted,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,load_shedding_events,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,battery_dispatch_events,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,voltage_violation_count,100,12.870000,41.130159,0.000000,0.000000,184.000000,4.808489,20.931511
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,frequency_deviation_count,100,9667.700000,219.521679,9800.000000,8967.000000,9800.000000,9624.673751,9710.726249
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,line_overload_count,100,5.540000,6.428189,4.000000,0.000000,35.000000,4.280075,6.799925
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,minimum_voltage_pu,100,0.855000,0.286436,0.950000,0.000000,0.950000,0.798859,0.911141
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,maximum_voltage_pu,100,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,average_voltage_pu,100,0.959490,0.005846,0.961429,0.942041,0.961429,0.958344,0.960636
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,operating_cost_usd,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,outage_cost_usd,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,carbon_kg,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dqn_core_only,100,dqn;flisr,lstm;digital_twin;predictive_healing;reward_shaping;ems;storage;xai,runtime_s,100,1.390808,0.090118,1.393200,1.208300,1.675700,1.373145,1.408471
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,saifi,100,0.061224,0.000000,0.061224,0.061224,0.061224,0.061224,0.061224
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,saidi,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,maifi,100,197.300000,4.480034,200.000000,183.000000,200.000000,196.421913,198.178087
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,asai,100,-2.000000,0.000000,-2.000000,-2.000000,-2.000000,-2.000000,-2.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,ens,100,30.000000,0.000000,30.000000,30.000000,30.000000,30.000000,30.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,restoration_time_steps,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,critical_load_restored_pct,100,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,successful_restoration_count,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,number_of_islands,100,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,isolated_nodes,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,actions_taken,100,200.000000,0.000000,200.000000,200.000000,200.000000,200.000000,200.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,switching_operations,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
full_stack,100,dqn;lstm;digital_twin;predictive_healing;reward_shaping;flisr;ems;storage;xai,,illegal_actions_attempted,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
